police_district,analysis_neighborhood
,
BAYVIEW,Potrero Hill
SOUTHERN,South of Market
RICHMOND,Lone Mountain/USF
CENTRAL,Tenderloin
MISSION,Mission
TENDERLOIN,Tenderloin
PARK,Haight Ashbury
NORTHERN,Tenderloin
TARAVAL,West of Twin Peaks
INGLESIDE,Excelsior
TARAVAL,Inner Sunset
BAYVIEW,Bayview Hunters Point
TARAVAL,Sunset/Parkside
BAYVIEW,Excelsior
SOUTHERN,Mission Bay
INGLESIDE,McLaren Park
PARK,Western Addition
NORTHERN,Western Addition
RICHMOND,Seacliff
NORTHERN,Hayes Valley
PARK,Lone Mountain/USF
NORTHERN,Russian Hill
RICHMOND,Inner Richmond
TARAVAL,Oceanview/Merced/Ingleside
BAYVIEW,Portola
PARK,Inner Sunset
NORTHERN,Nob Hill
TARAVAL,Golden Gate Park
CENTRAL,Russian Hill
PARK,Golden Gate Park
TENDERLOIN,Financial District/South Beach
RICHMOND,Golden Gate Park
INGLESIDE,Oceanview/Merced/Ingleside
NORTHERN,Marina
INGLESIDE,Portola
CENTRAL,Financial District/South Beach
RICHMOND,Japantown
NORTHERN,Pacific Heights
INGLESIDE,Noe Valley
SOUTHERN,Hayes Valley
INGLESIDE,Outer Mission
BAYVIEW,McLaren Park
INGLESIDE,Bernal Heights
SOUTHERN,Mission
TARAVAL,Lakeshore
RICHMOND,Outer Richmond
,Presidio
CENTRAL,Nob Hill
INGLESIDE,Visitacion Valley
TENDERLOIN,South of Market
SOUTHERN,Financial District/South Beach
MISSION,Castro/Upper Market
PARK,Twin Peaks
CENTRAL,North Beach
INGLESIDE,West of Twin Peaks
CENTRAL,Chinatown
INGLESIDE,Glen Park
PARK,Castro/Upper Market
NORTHERN,Japantown
MISSION,Noe Valley
SOUTHERN,Potrero Hill
RICHMOND,Presidio Heights
RICHMOND,Lincoln Park
RICHMOND,Pacific Heights
SOUTHERN,Treasure Island
NORTHERN,Haight Ashbury
PARK,West of Twin Peaks
PARK,Hayes Valley
TARAVAL,Outer Mission
MISSION,Twin Peaks
NORTHERN,Presidio
MISSION,Bernal Heights
BAYVIEW,Bernal Heights
INGLESIDE,Bayview Hunters Point
INGLESIDE,Twin Peaks
